"","Think_well","Live_well","Feel_well"
"BM000118","5","4","5"
"BM000119","5","7","8"
"BM000120","1","6","1"
"BM000121","7","7","7"
"BM000122","5","4","5"
"BM000123","5","5","8"
"BM000124","1","4","1"
"BM000125","7","8","8"
"BM000126","8","4","5"
"BM000127","2","3","1"
"BM000128","5","6","7"
"BM001348","10"," 6"," 8"
"BM001349","5","5","5"
"BM001350","5","5","7"
"BM001351","5","5","5"
"BM001352","7","5","7"
"BM001353","2","5","2"
"BM000129","7","6","7"
"BM000130","5","6","5"
"BM000131","7","6","7"
"BM000132","10"," 7"," 8"
"BM000133","5","5","5"
"BM000134","7","4","5"
"BM000135","7","5","7"
"BM000136","7","6","7"
"BM000137","7","5","5"
"BM000138","4","7","5"
"BM000139","7","4","7"
"BM000140","7","4","7"
"BM000141","7","5","5"
"BM000142","5","4","7"
"BM000143","2","6","1"
"BM000144","8","6","7"
"BM000145","7","5","7"
"BM000146","5","6","5"
"BM000147","7","6","7"
"BM000148","5","5","7"
"BM000149","5","4","7"
"BM000150","5","4","7"
"BM000151","5","4","7"
"BM001373","5","5","7"
"BM001374","7","5","5"
"BM001375","1","3","1"
"BM001376","5","5","7"
"BM001397","5","7","7"
"BM001398","7","7","5"
"BM001399","5","2","2"
"BM001400","8","5","7"
"BM001401","7","5","5"
"BM001402","2","5","1"
"BM001403","2","4","4"
"BM001404","1","3","1"
"BM001405","4","6","2"
"BM001406","5","4","7"
"BM001407","4","5","1"
"BM001413","8","8","7"
"BM001414","1","4","1"
"BM001415","8","9","8"
"BM001416","8","7","7"
"BM000152","7","5","4"
"BM000153","5","6","5"
"BM000154","5","5","7"
"BM000155","10"," 5"," 8"
"BM000156","5","5","8"
"BM000157","5","5","8"
"BM000158","7","6","7"
"BM000159","5","7","8"
"BM000160","5","5","7"
"BM000161","7","6","7"
"BM000162","5","4","5"
"BM000163","4","4","7"
"BM000164","8","6","7"
"BM001949","5","6","7"
"BM001950","7","5","5"
"BM001951","7","6","5"
"BM001952","10"," 4"," 5"
"BM001953","4","4","7"
"BM001954","5","5","7"
"BM001955","8","6","5"
"BM001956","5","5","8"
"BM001957","5","7","7"
"BM001958","5","5","5"
"BM001959","5","5","8"
"BM001960","5","6","7"
"BM001961","5","6","7"
"BM001962","7","6","7"
"BM001963","5","6","7"
"BM001964","5","5","7"
"BM001973","5","4","7"
"BM001974","4","4","7"
"BM001975","5","7","7"
"BM001976","7","4","7"
"BM001977","4","3","7"
"BM001978","4","5","5"
"BM001979","7","5","7"
"BM001980","4","4","2"
"BM001698","5","4","7"
"BM001699","7","7","5"
"BM001700","5","6","7"
"BM001701","8","7","8"
"BM001702","7","7","7"
"BM001703","7","6","5"
"BM001704","10"," 6"," 7"
"BM001705","4","6","5"
"BM001706","5","6","5"
"BM001707","7","3","7"
"BM001708","2","4","4"
"BM001709","7","3","7"
"BM001710","8","8","5"
"BM001711","5","6","7"
"BM001712","10"," 6"," 5"
"BM001713","7","6","7"
"BM001714","5","6","7"
"BM001715","5","6","4"
"BM001716","5","5","8"
"BM001717","8","5","5"
"BM001718","1","3","1"
"BM001722","2","6","4"
"BM001723","7","6","5"
"BM001724","7","7","5"
"BM001725","5","5","7"
"BM001726","5","5","5"
"BM001727","2","3","4"
"BM001728","8","6","7"
"BM001729","8","6","5"
"BM001730","5","5","5"
"BM001731","8","7","7"
"BM001732","7","7","8"
"BM001733","8","7","7"
"BM001734","1","4","2"
"BM001735","7","5","7"
"BM001736","5","5","7"
"BM001737","5","5","7"
"BM001917","7","4","7"
"BM001918","7","5","7"
"BM001919","8","7","7"
"BM001920","7","6","7"
"BM001921","7","5","7"
"BM001922","5","4","5"
"BM001923","1","3","1"
"BM001924","7","6","7"
"BM001933","5","7","5"
"BM001934","1","3","1"
"BM001935","7","6","7"
"BM001936","5","5","5"
"BM001937","7","4","7"
"BM001938","8","9","7"
"BM001939","5","6","7"
"BM001940","1","5","4"
"BM001941","4","5","2"
"BM001942","5","4","7"
"BM001943","5","4","7"
"BM001944","8","6","7"
"BM001945","5","5","4"
"BM001946","5","8","5"
"BM001947","10"," 6"," 8"
"BM001948","5","4","7"
"SRR9606838","1","2","1"
"SRR9606839","1","4","1"
"SRR9606840","1","2","1"
"SRR9606841","4","4","5"
"SRR9606842","1","3","1"
"SRR9606843","5","6","7"
"SRR9606844","5","4","5"
"SRR9606845","1","3","1"
"SRR9606846","4","3","1"
"SRR9606847","1","2","1"
"SRR9606906","1","2","1"
